Rank Number,Institution,Country,National Rank,Education Rank,Employability Rank,Faculty Rank,Research Rank,Score,Global_Region,Overall_Score_Normalized
1111,Medical University of Gdańsk,Poland,14,,,,1063,70.0,Europe,0.1124260355029585
1112,Charles Darwin University,Australia,30,,,,1064,70.0,Oceania,0.1124260355029585
1113,USI - University of Italian-speaking Switzerland,Switzerland,11,,,,1066,70.0,Europe,0.1124260355029585
1114,University of Agriculture Faisalabad,Pakistan,5,,,,1067,70.0,Asia,0.1124260355029585
1115,National University of Sciences and Technology,Pakistan,6,,,,1069,70.0,Asia,0.1124260355029585
1116,New York University Abu Dhabi,United Arab Emirates,4,,,,1070,70.0,Asia,0.1124260355029585
1117,Fordham University,USA,216,,252,,1172,70.0,America,0.1124260355029585
1118,Xi'an University of Architecture and Technology,China,202,,1012,,1076,70.0,Asia,0.1124260355029585
1119,Federal University of Goiás,Brazil,25,,,,1071,69.9,America,0.10946745562130186
1120,Worcester Polytechnic Institute,USA,217,,178,,1250,69.9,America,0.10946745562130186
1121,University of Novi Sad,Serbia,2,,,,1073,69.9,Europe,0.10946745562130186
1122,Federal University of ABC,Brazil,26,,,,1074,69.9,America,0.10946745562130186
1123,National Taipei University of Technology,Taiwan,15,,641,,1099,69.9,Asia,0.10946745562130186
1124,"University of New England, Australia",Australia,31,,1302,,1077,69.9,Oceania,0.10946745562130186
1125,University of South Bohemia,Czech Republic,6,,,,1075,69.9,Europe,0.10946745562130186
1126,Ehime University,Japan,39,,1248,,1080,69.9,Asia,0.10946745562130186
1127,Jichi Medical University,Japan,40,,,,1078,69.9,Asia,0.10946745562130186
1128,Cadi Ayyad University,Morocco,2,,,,1081,69.9,Africa,0.10946745562130186
1129,Andrés Bello University,Chile,5,,1731,,1082,69.9,America,0.10946745562130186
1131,Manipal Academy of Higher Education,India,22,,1133,,1087,69.9,Asia,0.10946745562130186
1132,Colgate University,USA,218,,54,,,69.9,America,0.10946745562130186
1133,Guilin University of Electronic Technology,China,204,,,,1084,69.9,Asia,0.10946745562130186
1134,Chengdu University,China,205,,,,1085,69.9,Asia,0.10946745562130186
1135,University of Canberra,Australia,32,,1607,,1086,69.9,Oceania,0.10946745562130186
1136,Tomsk Polytechnic University,Russia,22,,,,1088,69.9,Europe,0.10946745562130186
1137,University of Regina,Canada,29,,1625,,1089,69.9,America,0.10946745562130186
1138,Mario Negri Institute for Pharmacological Research,Italy,50,,,,1091,69.8,Europe,0.1065088757396448
1139,Daegu Gyeongbuk Institute of Science and Technology,South Korea,35,,,,1092,69.8,Asia,0.1065088757396448
1140,University of Kassel,Germany,54,,,,1093,69.8,Europe,0.1065088757396448
1141,University of the Free State,South Africa,8,,,,1094,69.8,Africa,0.1065088757396448
1142,University of Sfax,Tunisia,2,,,,1095,69.8,Africa,0.1065088757396448
1143,Shahid Beheshti University,Iran,14,,,,1096,69.8,Asia,0.1065088757396448
1144,Liverpool School of Tropical Medicine,United Kingdom,65,,,,1097,69.8,Europe,0.1065088757396448
1145,Ritsumeikan University,Japan,41,,662,,1109,69.8,Asia,0.1065088757396448
1146,Shanxi Medical University,China,206,,,,1100,69.8,Asia,0.1065088757396448
1147,University of Massachusetts Lowell,USA,219,,814,,1105,69.8,America,0.1065088757396448
1148,Coventry University,United Kingdom,66,,1188,,1101,69.8,Europe,0.1065088757396448
1149,Tokyo University of Agriculture and Technology,Japan,42,,,,1102,69.8,Asia,0.1065088757396448
1150,Tokyo Women's Medical University,Japan,43,,,,1103,69.8,Asia,0.1065088757396448
1151,Dublin City University,Ireland,7,,713,,1119,69.8,Europe,0.1065088757396448
1152,Sogang University,South Korea,36,,448,,1139,69.8,Asia,0.1065088757396448
1153,Tanta University,Egypt,7,,,,1107,69.8,Africa,0.1065088757396448
1154,Hassan II University of Casablanca,Morocco,3,,,,1108,69.8,Africa,0.1065088757396448
1155,University of Bucharest,Romania,4,374,,,1118,69.8,Europe,0.1065088757396448
1156,University of Lleida,Spain,39,,,,1110,69.8,Europe,0.1065088757396448
1157,Tianjin University of Science and Technology,China,207,,1521,,1113,69.7,Asia,0.10355029585798818
1158,Åbo Akademi University,Finland,9,,,,1111,69.7,Europe,0.10355029585798818
1159,Charles Sturt University,Australia,33,,1359,,1115,69.7,Oceania,0.10355029585798818
1160,Westlake University,China,208,,,,1112,69.7,Asia,0.10355029585798818
1161,Medical University of Silesia,Poland,15,,,,1114,69.7,Europe,0.10355029585798818
1162,University of Hertfordshire,United Kingdom,67,,,,1116,69.7,Europe,0.10355029585798818
1163,Mashhad University of Medical Sciences,Iran,15,,,,1117,69.7,Asia,0.10355029585798818
1165,Pepperdine University,USA,220,110,102,172,,69.7,America,0.10355029585798818
1166,Paderborn University,Germany,55,,1508,,1121,69.7,Europe,0.10355029585798818
1167,Jadavpur University,India,23,,1084,,1124,69.7,Asia,0.10355029585798818
1168,Northwest Normal University,China,210,,,,1122,69.7,Asia,0.10355029585798818
1169,Pomona College,USA,221,35,1048,282,,69.7,America,0.10355029585798818
1171,École nationale supérieure de chimie de Montpellier,France,48,,,,1123,69.7,Europe,0.10355029585798818
1172,Dankook University,South Korea,37,,1179,,1125,69.7,Asia,0.10355029585798818
1173,China Three Gorges University,China,211,,1259,,1127,69.7,Asia,0.10355029585798818
1174,University of Calcutta,India,24,552,636,263,1261,69.7,Asia,0.10355029585798818
1175,Babson College,USA,222,,44,,,69.7,America,0.10355029585798818
1176,Istanbul University-Cerrahpaşa,Turkey,14,,,,1128,69.6,Asia,0.10059171597633111
1177,Yamagata University,Japan,44,,,,1129,69.6,Asia,0.10059171597633111
1178,Dongguan University of Technology,China,212,,,,1130,69.6,Asia,0.10059171597633111
1179,Hunter College,USA,223,147,1403,,1209,69.6,America,0.10059171597633111
1180,University of Texas Rio Grande Valley,USA,224,,,,1131,69.6,America,0.10059171597633111
1181,Toho University,Japan,45,,,,1132,69.6,Asia,0.10059171597633111
1182,VetAgro Sup,France,49,,,,1133,69.6,Europe,0.10059171597633111
1183,University of Salzburg,Austria,13,,710,,1147,69.6,Europe,0.10059171597633111
1184,Sant'Anna School of Advanced Studies,Italy,51,,,,1134,69.6,Europe,0.10059171597633111
1185,Gran Sasso Science Institute,Italy,52,,,,1135,69.6,Europe,0.10059171597633111
1186,Pablo de Olavide University,Spain,40,,,,1136,69.6,Europe,0.10059171597633111
1187,Pukyong National University,South Korea,38,,,,1137,69.6,Asia,0.10059171597633111
1188,University of Ghana,Ghana,1,,1733,,1138,69.6,Africa,0.10059171597633111
1189,University of Western Cape,South Africa,9,,,,1140,69.6,Africa,0.10059171597633111
1190,University of North Carolina at Greensboro,USA,225,,,,1141,69.6,America,0.10059171597633111
1191,University of Urbino,Italy,53,,1322,,1143,69.6,Europe,0.10059171597633111
1192,Shanghai Ocean University,China,213,,,,1144,69.6,Asia,0.10059171597633111
1193,King Khalid University,Saudi Arabia,5,,,,1145,69.6,Asia,0.10059171597633111
1194,Sanford Burnham Prebys Medical Discovery Institute,USA,226,,,,1146,69.6,America,0.10059171597633111
1195,Bournemouth University,United Kingdom,68,,1645,,1148,69.6,Europe,0.10059171597633111
1196,Hamad Bin Khalifa University,Qatar,2,,,,1149,69.5,Asia,0.09763313609467449
1197,Loma Linda University,USA,227,,,,1150,69.5,America,0.09763313609467449
1198,V.A. Engelhardt Institute of Molecular Biology of the Russian Academy of Sciences,Russia,23,47,,233,,69.5,Europe,0.09763313609467449
1199,Khon Kaen University,Thailand,4,,,,1151,69.5,Asia,0.09763313609467449
1200,Poznan University of Medical Sciences,Poland,16,,,,1152,69.5,Europe,0.09763313609467449
1201,Inner Mongolia University,China,214,,,,1153,69.5,Asia,0.09763313609467449
1202,United States Naval Academy,USA,228,62,169,,1976,69.5,America,0.09763313609467449
1203,Kagoshima University,Japan,46,,888,,1161,69.5,Asia,0.09763313609467449
1204,Anhui University of Technology,China,215,,906,,1160,69.5,Asia,0.09763313609467449
1205,Brno University of Technology,Czech Republic,7,,,,1154,69.5,Europe,0.09763313609467449
1206,Dokuz Eylül University,Turkey,15,,,,1156,69.5,Asia,0.09763313609467449
1207,Anna University,India,25,566,1575,,1158,69.5,Asia,0.09763313609467449
1208,University of Waikato,New Zealand,7,,753,,1169,69.5,Oceania,0.09763313609467449
1209,Shihezi University,China,216,,,,1159,69.5,Asia,0.09763313609467449
1210,"University of Chemistry and Technology, Prague",Czech Republic,8,,,,1163,69.5,Europe,0.09763313609467449
1211,Al-Azhar University,Egypt,8,,1707,,1164,69.5,Africa,0.09763313609467449
1212,Tabriz University of Medical Sciences,Iran,16,,,,1165,69.5,Asia,0.09763313609467449
1213,Creighton University,USA,229,,,,1166,69.5,America,0.09763313609467449
1214,University of Augsburg,Germany,56,,1352,,1167,69.5,Europe,0.09763313609467449
1215,Teikyo University,Japan,47,,,,1168,69.5,Asia,0.09763313609467449
1216,"Vietnam National University, Hanoi",Vietnam,3,,1492,,1171,69.4,Asia,0.09467455621301785
1217,Singapore Management University,Singapore,4,,,,1170,69.4,Asia,0.09467455621301785
1218,University of Pécs,Hungary,6,,,,1173,69.4,Europe,0.09467455621301785
1219,Lanzhou University of Technology,China,217,,,,1174,69.4,Asia,0.09467455621301785
1220,University of Maribor,Slovenia,2,,,,1175,69.4,Europe,0.09467455621301785
1221,Gunma University,Japan,48,,,,1176,69.4,Asia,0.09467455621301785
1222,University of Gdańsk,Poland,17,,994,,1181,69.4,Europe,0.09467455621301785
1223,"University of the West of England, Bristol",United Kingdom,69,554,,,1178,69.4,Europe,0.09467455621301785
1224,University of South Africa,South Africa,10,,973,,1184,69.4,Africa,0.09467455621301785
1225,China Jiliang University,China,218,,,,1179,69.4,Asia,0.09467455621301785
1226,Prince of Songkla University,Thailand,5,,,,1180,69.4,Asia,0.09467455621301785
1227,Bohai University,China,219,,1301,,1182,69.4,Asia,0.09467455621301785
1228,Shiraz University of Medical Sciences,Iran,17,,,,1183,69.4,Asia,0.09467455621301785
1229,Kyoto Prefectural University of Medicine,Japan,49,,,,1185,69.4,Asia,0.09467455621301785
1230,Fujita Health University,Japan,50,,1160,,1188,69.4,Asia,0.09467455621301785
1231,University of Upper Alsace,France,50,,,,1186,69.4,Europe,0.09467455621301785
1232,University of Lincoln,United Kingdom,70,,,,1187,69.4,Europe,0.09467455621301785
1233,North University of China,China,220,,,,1189,69.4,Asia,0.09467455621301785
1234,Thapar Institute of Engineering and Technology,India,26,,625,,1205,69.4,Asia,0.09467455621301785
1235,Indian Agricultural Research Institute,India,27,79,1256,,1459,69.4,Asia,0.09467455621301785
1236,Metropolitan Autonomous University,Mexico,6,,1729,,1191,69.3,America,0.09171597633136079
1237,University of Jaén,Spain,41,,,,1192,69.3,Europe,0.09171597633136079
1238,Shenyang Agricultural University,China,221,,,,1193,69.3,Asia,0.09171597633136079
1239,Jikei University,Japan,51,,,,1194,69.3,Asia,0.09171597633136079
1240,Chuo University,Japan,52,,81,,1865,69.3,Asia,0.09171597633136079
1241,Huzhou University,China,222,,,,1195,69.3,Asia,0.09171597633136079
1242,Nippon Medical School,Japan,53,,,,1196,69.3,Asia,0.09171597633136079
1243,Nagoya City University,Japan,54,,921,,1199,69.3,Asia,0.09171597633136079
1244,Florida Institute of Technology,USA,230,,866,,1201,69.3,America,0.09171597633136079
1245,Aligarh Muslim University,India,28,,1722,,1197,69.3,Asia,0.09171597633136079
1246,Indian Institute of Technology Hyderabad,India,29,,,,1198,69.3,Asia,0.09171597633136079
1247,National Defense Medical Center,Taiwan,16,,,,1200,69.3,Asia,0.09171597633136079
1248,Yangtze University,China,223,,1113,,1204,69.3,Asia,0.09171597633136079
1249,Gaziantep University,Turkey,16,,,,1202,69.3,Asia,0.09171597633136079
1250,Keimyung University,South Korea,39,,1705,,1203,69.3,Asia,0.09171597633136079
1251,Jordan University of Science and Technology,Jordan,1,,,,1206,69.3,Asia,0.09171597633136079
1252,Gdańsk University of Technology,Poland,18,,1333,,1208,69.3,Europe,0.09171597633136079
1253,University of the Sunshine Coast,Australia,34,,,,1207,69.3,Oceania,0.09171597633136079
1254,Shenyang Pharmaceutical University,China,224,,,,1210,69.3,Asia,0.09171597633136079
1255,South Dakota State University,USA,231,279,,,1232,69.3,America,0.09171597633136079
1256,Prince Sattam Bin Abdulaziz University,Saudi Arabia,6,,,,1211,69.2,Asia,0.08875739644970415
1257,National Institute of Public Health (INSP),Mexico,7,,,,1212,69.2,America,0.08875739644970415
1258,Brandenburg University of Technology,Germany,57,,1167,,1213,69.2,Europe,0.08875739644970415
1259,Kunming Medical University,China,225,,,,1214,69.2,Asia,0.08875739644970415
1260,"Birla Institute of Technology and Science, Pilani",India,30,,387,,1274,69.2,Asia,0.08875739644970415
1261,Erciyes University,Turkey,17,,,,1215,69.2,Asia,0.08875739644970415
1262,Institute of Mathematics of the National Academy of Sciences of Ukraine,Ukraine,1,29,,,,69.2,Europe,0.08875739644970415
1263,Howard University,USA,232,,,,1216,69.2,America,0.08875739644970415
1264,K. N. Toosi University of Technology,Iran,18,,,,1217,69.2,Asia,0.08875739644970415
1265,Sultan Qaboos University,Sultanate of Oman,1,,,,1218,69.2,Asia,0.08875739644970415
1266,Isfahan University of Medical Sciences,Iran,19,,,,1219,69.2,Asia,0.08875739644970415
1267,Federal University of Paraíba,Brazil,27,,,,1221,69.2,America,0.08875739644970415
1268,Federal University of Espírito Santo,Brazil,28,533,,,1222,69.2,America,0.08875739644970415
1269,Conservatoire national des arts et métiers,France,51,,1562,,1224,69.2,Europe,0.08875739644970415
1270,"University of Veterinary Medicine, Vienna",Austria,14,,,,1223,69.2,Europe,0.08875739644970415
1271,Shandong University of Technology,China,226,,1439,,1225,69.2,Asia,0.08875739644970415
1272,Education University of Hong Kong,China,227,,,,1227,69.2,Asia,0.08875739644970415
1273,Silesian University of Technology,Poland,19,,1644,,1228,69.2,Europe,0.08875739644970415
1274,Catholic University of America,USA,233,,993,,1235,69.2,America,0.08875739644970415
1275,"Vietnam National University, Ho Chi Minh City",Vietnam,4,,,,1229,69.2,Asia,0.08875739644970415
1276,Suzhou University of Science and Technology,China,228,,,,1231,69.1,Asia,0.0857988165680471
1277,Autonomous University of San Luis Potosí,Mexico,8,,,,1233,69.1,America,0.0857988165680471
1278,University of Technology of Belfort-Montbéliard,France,52,,,,1234,69.1,Europe,0.0857988165680471
1279,Shanghai Maritime University,China,229,,757,,1251,69.1,Asia,0.0857988165680471
1280,Foshan University,China,230,,,,1236,69.1,Asia,0.0857988165680471
1281,King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,7,,,,1237,69.1,Asia,0.0857988165680471
1282,University of Stavanger,Norway,7,,1404,,1238,69.1,Europe,0.0857988165680471
1283,Ca' Foscari University of Venice,Italy,54,,1358,,1241,69.1,Europe,0.0857988165680471
1284,Federal University of Lavras,Brazil,29,,,,1239,69.1,America,0.0857988165680471
1285,Oakland University,USA,234,356,1447,,1248,69.1,America,0.0857988165680471
1286,National University of Science and Technology MISiS,Russia,24,,1355,,1243,69.1,Europe,0.0857988165680471
1287,Taif University,Saudi Arabia,8,,,,1240,69.1,Asia,0.0857988165680471
1288,Federal University of Pará,Brazil,30,,,,1242,69.1,America,0.0857988165680471
1289,University of Greenwich,United Kingdom,71,273,1547,,1258,69.1,Europe,0.0857988165680471
1291,Wilfrid Laurier University,Canada,30,,531,,1272,69.1,America,0.0857988165680471
1292,University of Las Palmas de Gran Canaria,Spain,42,,,,1245,69.1,Europe,0.0857988165680471
1293,Stevens Institute of Technology,USA,235,431,293,,1339,69.1,America,0.0857988165680471
1294,Federal University of Uberlândia,Brazil,31,,,,1246,69.1,America,0.0857988165680471
1296,University of Jordan,Jordan,2,,,,1247,69.1,Asia,0.0857988165680471
1297,University of Hyderabad,India,31,,,,1249,69.0,Asia,0.08284023668639046
1298,Mie University,Japan,56,,,,1252,69.0,Asia,0.08284023668639046
1299,United States Military Academy,USA,236,,59,,,69.0,America,0.08284023668639046
1300,Beijing University of Chinese Medicine,China,232,,,,1253,69.0,Asia,0.08284023668639046
1301,Warsaw University of Life Sciences,Poland,20,438,,,1255,69.0,Europe,0.08284023668639046
1302,ESSEC Business School,France,53,,64,,,69.0,Europe,0.08284023668639046
1303,New York Medical College,USA,237,,,,1254,69.0,America,0.08284023668639046
1304,Yamaguchi University,Japan,57,,1115,,1257,69.0,Asia,0.08284023668639046
1305,Brock University,Canada,31,,,,1256,69.0,America,0.08284023668639046
1306,Magna Graecia University of Catanzaro,Italy,55,,,,1259,69.0,Europe,0.08284023668639046
1307,Santa Clara University,USA,238,313,106,,1779,69.0,America,0.08284023668639046
1308,Nara Institute of Science and Technology,Japan,58,,,,1260,69.0,Asia,0.08284023668639046
1309,Kwame Nkrumah University of Science and Technology,Ghana,2,560,,,1262,69.0,Africa,0.08284023668639046
1310,Public University of Navarre,Spain,43,,,,1263,69.0,Europe,0.08284023668639046
1311,Near East University,Northern Cyprus,1,,1387,,1264,69.0,Asia,0.08284023668639046
1312,École nationale vétérinaire d'Alfort,France,54,,86,,1923,69.0,Europe,0.08284023668639046
1313,Louisiana Tech University,USA,239,,371,,1333,69.0,America,0.08284023668639046
1314,Campus Bio-Medico University,Italy,56,,,,1265,69.0,Europe,0.08284023668639046
1315,Government College University Faisalabad,Pakistan,7,,,,1266,69.0,Asia,0.08284023668639046
1316,Texas State University,USA,240,,1600,,1267,69.0,America,0.08284023668639046
1317,Tokyo Medical University,Japan,59,,,,1268,69.0,Asia,0.08284023668639046
1318,South-Central Minzu University,China,233,,1549,,1269,68.9,Asia,0.07988165680473382
1319,Manhattan University,USA,241,,117,,1704,68.9,America,0.07988165680473382
1320,Peoples' Friendship University of Russia,Russia,25,,1017,,1275,68.9,Europe,0.07988165680473382
1321,Hunan University of Science and Technology,China,234,,,,1270,68.9,Asia,0.07988165680473382
1322,Saitama Medical University,Japan,60,,,,1271,68.9,Asia,0.07988165680473382
1323,Maynooth University,Ireland,8,,,,1273,68.9,Europe,0.07988165680473382
1324,Xi'an University of Science and Technology,China,235,,945,,1280,68.9,Asia,0.07988165680473382
1325,Central South University of Forestry and Technology,China,236,,,,1276,68.9,Asia,0.07988165680473382
1326,North China University of Science and Technology,China,237,,,,1277,68.9,Asia,0.07988165680473382
1327,Soongsil University,South Korea,40,,,,1278,68.9,Asia,0.07988165680473382
1328,"Indian Institute of Science Education and Research, Kolkata",India,32,,,,1279,68.9,Asia,0.07988165680473382
1329,Hirosaki University,Japan,61,,1184,,1282,68.9,Asia,0.07988165680473382
1330,National Institute for Space Research (INPE),Brazil,32,,,,1281,68.9,America,0.07988165680473382
1331,University of Lodz,Poland,21,544,1297,,1285,68.9,Europe,0.07988165680473382
1332,SRM Institute of Science and Technology,India,33,,,,1283,68.9,Asia,0.07988165680473382
1333,Kasetsart University,Thailand,6,,1743,,1284,68.9,Asia,0.07988165680473382
1334,Albany Medical College,USA,242,,,,1286,68.9,America,0.07988165680473382
1335,Fu Jen Catholic University,Taiwan,17,,594,,1310,68.9,Asia,0.07988165680473382
1336,Rhodes University,South Africa,11,384,770,,1300,68.9,Africa,0.07988165680473382
1337,University of Neuchâtel,Switzerland,12,,,,1287,68.9,Europe,0.07988165680473382
1338,LSU Health Sciences Center New Orleans,USA,243,,,,1288,68.9,America,0.07988165680473382
1339,"Indian Institute of Technology (Indian School of Mines), Dhanbad",India,34,,698,,1301,68.9,Asia,0.07988165680473382
1340,University of Foggia,Italy,57,,,,1289,68.8,Europe,0.07692307692307676
1341,Tuscia University,Italy,58,,,,1290,68.8,Europe,0.07692307692307676
1342,Hebei Agricultural University,China,238,,,,1291,68.8,Asia,0.07692307692307676
1343,Shanghai University of Electric Power,China,239,,,,1292,68.8,Asia,0.07692307692307676
1344,Henan University of Technology,China,240,,,,1293,68.8,Asia,0.07692307692307676
1345,University of Silesia in Katowice,Poland,22,,,,1294,68.8,Europe,0.07692307692307676
1346,Incheon National University,South Korea,41,,,,1295,68.8,Asia,0.07692307692307676
1347,Kuwait University,Kuwait,1,,1320,,1296,68.8,Asia,0.07692307692307676
1348,Austral University of Chile,Chile,6,,1080,,1298,68.8,America,0.07692307692307676
1349,Chemnitz University of Technology,Germany,58,,1592,,1297,68.8,Europe,0.07692307692307676
1350,École centrale de Lyon,France,55,,481,,1345,68.8,Europe,0.07692307692307676
1351,Indian Institute of Technology (BHU) Varanasi,India,35,,480,,1348,68.8,Asia,0.07692307692307676
1352,University of North Dakota,USA,244,,833,,1312,68.8,America,0.07692307692307676
1353,Imam Abdulrahman Bin Faisal University,Saudi Arabia,9,,,,1299,68.8,Asia,0.07692307692307676
1354,Boise State University,USA,245,,1696,,1302,68.8,America,0.07692307692307676
1355,"National Institute of Technology, Rourkela",India,36,,314,,1402,68.8,Asia,0.07692307692307676
1356,Beni Suef University,Egypt,9,,,,1303,68.8,Africa,0.07692307692307676
1357,Mohammed First University Oujda,Morocco,4,,,,1304,68.8,Africa,0.07692307692307676
1358,Atatürk University,Turkey,18,,1519,,1305,68.8,Asia,0.07692307692307676
1359,National University of Distance Education,Spain,44,,1509,,1306,68.8,Europe,0.07692307692307676
1360,Linnaeus University,Sweden,14,,,,1307,68.8,Europe,0.07692307692307676
1361,University of León,Spain,45,,,,1308,68.7,Europe,0.07396449704142012
1362,Hubei University of Technology,China,241,,,,1309,68.7,Asia,0.07396449704142012
1363,Guizhou Medical University,China,242,,,,1311,68.7,Asia,0.07396449704142012
1364,Mersin University,Turkey,19,,,,1313,68.7,Asia,0.07396449704142012
1365,École de technologie supérieure,Canada,32,,,,1314,68.7,America,0.07396449704142012
1366,University of Monastir,Tunisia,3,,,,1315,68.7,Africa,0.07396449704142012
1367,Federal University of Mato Grosso do Sul,Brazil,33,,,,1316,68.7,America,0.07396449704142012
1368,State University of Maringá,Brazil,34,,,,1317,68.7,America,0.07396449704142012
1369,University of Almería,Spain,46,,,,1318,68.7,Europe,0.07396449704142012
1370,Chung Shan Medical University,Taiwan,18,,,,1319,68.7,Asia,0.07396449704142012
1371,University of Yaoundé I,Cameroon,1,,,,1320,68.7,Africa,0.07396449704142012
1372,Transilvania University of Brașov,Romania,5,,,,1322,68.7,Europe,0.07396449704142012
1373,University of Camerino,Italy,59,,,,1323,68.7,Europe,0.07396449704142012
1374,Sichuan Normal University,China,243,,,,1324,68.7,Asia,0.07396449704142012
1375,Istanbul Bilgi University,Turkey,20,,,,1325,68.7,Asia,0.07396449704142012
1376,University of Indonesia,Indonesia,1,,632,,1353,68.7,Asia,0.07396449704142012
1377,"California State University, Fullerton",USA,246,,1277,,1326,68.7,America,0.07396449704142012
1379,Liaoning University,China,245,,1006,,1336,68.7,Asia,0.07396449704142012
1380,Indian Institute of Technology Indore,India,37,,,,1328,68.7,Asia,0.07396449704142012
1381,Babol Noshirvani University of Technology,Iran,20,,,,1329,68.7,Asia,0.07396449704142012
1382,Smith College,USA,247,58,279,,,68.7,America,0.07396449704142012
1383,Guilin University of Technology,China,246,,,,1330,68.6,Asia,0.07100591715976307
1384,Rowan University,USA,248,,,,1331,68.6,America,0.07100591715976307
1385,Federal University of São João del-Rei,Brazil,35,,,,1332,68.6,America,0.07100591715976307
1386,University of Guadalajara,Mexico,9,,,,1334,68.6,America,0.07100591715976307
1387,University of Alabama in Huntsville,USA,249,,,,1335,68.6,America,0.07100591715976307
1388,San Francisco State University,USA,250,,821,,1347,68.6,America,0.07100591715976307
1389,Showa University,Japan,62,,766,,1352,68.6,Asia,0.07100591715976307
1390,SUNY College of Environmental Science and Forestry,USA,251,86,,,1638,68.6,America,0.07100591715976307
1391,Toulouse Capitole University,France,56,,,262,1476,68.6,Europe,0.07100591715976307
1392,Southern Cross University,Australia,35,,,,1337,68.6,Oceania,0.07100591715976307
1393,Pushchino Scientific Center for Biological Research of the Russian Academy of Sciences,Russia,26,,,,1338,68.6,Europe,0.07100591715976307
1394,Nanchang Hangkong University,China,247,,1650,,1340,68.6,Asia,0.07100591715976307
1395,Jeju National University,South Korea,42,,,,1341,68.6,Asia,0.07100591715976307
1396,University of Huddersfield,United Kingdom,72,,1677,,1342,68.6,Europe,0.07100591715976307
1398,University of Carthage,Tunisia,4,,,,1343,68.6,Africa,0.07100591715976307
1399,University of Costa Rica,Costa Rica,1,,,,1344,68.6,America,0.07100591715976307
1400,Harbin University of Science and Technology,China,249,,,,1346,68.6,Asia,0.07100591715976307
1401,Lakehead University,Canada,33,,683,,1369,68.6,America,0.07100591715976307
1402,"California Polytechnic State University, San Luis Obispo",USA,252,,515,,1388,68.6,America,0.07100591715976307
1403,University of Nairobi,Kenya,1,,1596,,1349,68.6,Africa,0.07100591715976307
1404,Helwan University,Egypt,10,,,,1350,68.6,Africa,0.07100591715976307
1405,Kurume University,Japan,63,,,,1351,68.5,Asia,0.06804733727810643
1406,Southwest Medical University,China,250,,,,1354,68.5,Asia,0.06804733727810643
1407,Osnabrück University,Germany,59,,,,1355,68.5,Europe,0.06804733727810643
1408,Indian Association for the Cultivation of Science,India,38,,,,1356,68.5,Asia,0.06804733727810643
1409,Hebei Normal University,China,251,,1093,,1362,68.5,Asia,0.06804733727810643
1410,Xi'an Jiaotong-Liverpool University,China,252,,,,1357,68.5,Asia,0.06804733727810643
1411,University of Algarve,Portugal,7,,,,1358,68.5,Europe,0.06804733727810643
1412,University of Yamanashi,Japan,64,181,,,1414,68.5,Asia,0.06804733727810643
1413,Visva-Bharati University,India,39,,,,1359,68.5,Asia,0.06804733727810643
1414,Qingdao University of Technology,China,253,,,,1360,68.5,Asia,0.06804733727810643
1415,Dong-A University,South Korea,43,,1139,,1363,68.5,Asia,0.06804733727810643
1416,University of Puerto Rico at Mayagüez,USA,253,,,,1361,68.5,America,0.06804733727810643
1417,University of San Francisco,USA,254,,93,,,68.5,America,0.06804733727810643
1418,Chung Yuan Christian University,Taiwan,19,,402,,1422,68.5,Asia,0.06804733727810643
1419,Wright State University,USA,255,,,,1364,68.5,America,0.06804733727810643
1420,Lodz University of Technology,Poland,23,,,,1365,68.5,Europe,0.06804733727810643
1421,Anglia Ruskin University,United Kingdom,73,,,,1366,68.5,Europe,0.06804733727810643
1422,Akdeniz University,Turkey,21,,,,1367,68.5,Asia,0.06804733727810643
1423,İzmir Institute of Technology,Turkey,22,,,,1368,68.5,Asia,0.06804733727810643
1424,Tottori University,Japan,65,289,928,,1392,68.5,Asia,0.06804733727810643
1425,Ningxia University,China,254,,,,1370,68.5,Asia,0.06804733727810643
1426,Central Michigan University,USA,256,,822,,1382,68.5,America,0.06804733727810643
1427,Suez Canal University,Egypt,11,,,,1371,68.5,Africa,0.06804733727810643
1428,Jiangxi University of Science and Technology,China,255,,1711,,1372,68.4,Asia,0.0650887573964498
1429,Democritus University of Thrace,Greece,8,,,,1373,68.4,Europe,0.0650887573964498
1430,Autonomous University of Nuevo León,Mexico,10,,,,1374,68.4,America,0.0650887573964498
1431,Kanazawa Institute of Technology,Japan,66,171,,69,,68.4,Asia,0.0650887573964498
1432,"California State University, Fresno",USA,257,,,,1375,68.4,America,0.0650887573964498
1433,Guangdong Medical University,China,256,,,,1376,68.4,Asia,0.0650887573964498
1434,"University of the West Indies, Mona",Jamaica,1,,,,1378,68.4,America,0.0650887573964498
1435,Ariel University,Israel,8,,,,1379,68.4,Asia,0.0650887573964498
1436,Tianjin Normal University,China,257,,,,1380,68.4,Asia,0.0650887573964498
1437,"California State University, Northridge",USA,258,,1166,,1383,68.4,America,0.0650887573964498
1438,University of Miyazaki,Japan,67,,,,1381,68.4,Asia,0.0650887573964498
1439,University of La Frontera,Chile,7,,,,1384,68.4,America,0.0650887573964498
1440,Saga University,Japan,68,,,,1385,68.4,Asia,0.0650887573964498
1441,Fukushima Medical University,Japan,69,,,,1386,68.4,Asia,0.0650887573964498
1442,Taibah University,Saudi Arabia,10,,,,1387,68.4,Asia,0.0650887573964498
